Date,T_out,month,Etotal,
2000-01-01,-0.6,1,7.694228703,
2000-01-01,-1.1,1,7.562730486,
2000-01-01,0,1,7.497304139,
2000-01-01,-1.7,1,7.462396962,
2000-01-01,-1.1,1,7.355988225,
2000-01-01,-1.7,1,7.388143259,
2000-01-01,-0.6,1,7.387591768,
2000-01-01,-1.7,1,7.23976953,
2000-01-01,-1.1,1,7.036663927,
2000-01-01,2.8,1,6.559196301,
2000-01-01,6.1,1,6.293000714,
2000-01-01,10,1,5.95578892,
2000-01-01,11.7,1,5.738866483,
2000-01-01,12.2,1,5.463224904,
2000-01-01,13.3,1,5.496968453,
2000-01-01,12.2,1,5.503692367,
2000-01-01,11.1,1,5.511759068,
2000-01-01,9.4,1,5.627331839,
2000-01-01,10,1,5.746223164,
2000-01-01,8.9,1,5.472711889,
2000-01-01,7.8,1,5.617497074,
2000-01-01,8.3,1,5.490530613,
2000-01-01,8.3,1,5.625418428,
2000-01-01,9.4,1,5.632618778,
2000-01-02,9.4,1,6.080213031,
2000-01-02,11.1,1,5.828313894,
2000-01-02,11.7,1,5.949461082,
2000-01-02,11.1,1,5.801359455,
2000-01-02,11.7,1,5.499987829,
2000-01-02,11.7,1,5.524829384,
2000-01-02,11.7,1,5.397443195,
2000-01-02,12.2,1,5.412148753,
2000-01-02,12.2,1,5.308451571,
2000-01-02,13.3,1,5.190518765,
2000-01-02,13.9,1,4.970724346,
2000-01-02,13.9,1,4.951008169,
2000-01-02,14.4,1,4.955944259,
2000-01-02,14,1,5.281044104,
2000-01-02,15.6,1,5.422233494,
2000-01-02,16.1,1,5.21741921,
2000-01-02,15.6,1,5.171123992,
2000-01-02,15.6,1,5.394071081,
2000-01-02,15.6,1,5.170322839,
2000-01-02,13.9,1,5.029850448,
2000-01-02,10,1,4.958405844,
2000-01-02,7.2,1,4.837256864,
2000-01-02,4.4,1,5.284764103,
2000-01-02,4.4,1,5.287865784,
2000-01-03,4.4,1,5.30260828,
2000-01-03,4.4,1,5.291805372,
2000-01-03,4.4,1,5.186420176,
2000-01-03,3.9,1,5.258583798,
2000-01-03,3.9,1,5.475610534,
2000-01-03,3.9,1,5.717781636,
2000-01-03,3.9,1,5.924985151,
2000-01-03,3.9,1,5.93305761,
2000-01-03,3.9,1,6.159180407,
2000-01-03,4.4,1,6.151389739,
2000-01-03,4,1,6.065164766,
2000-01-03,5,1,5.966863176,
2000-01-03,4.4,1,5.818215273,
2000-01-03,6.1,1,5.836293102,
2000-01-03,8,1,5.843859377,
2000-01-03,9.4,1,5.833530025,
2000-01-03,10,1,5.858376015,
